Price,Close,High,Low,Open,Volume
Ticker,RSP,RSP,RSP,RSP,RSP
Date,,,,,
2022-01-11,153.6071319580078,153.65440439505628,151.22475692640742,152.34031142803457,4053700
2022-01-12,153.73004150390625,154.53362967856685,153.01154948840846,154.07983158144134,3526500
2022-01-13,153.02102661132812,154.73218244683787,152.67123646886108,154.12713263054394,3157800
2022-01-14,152.75628662109375,152.8980895074852,151.02621927950526,152.00941961803863,3948500
2022-01-18,150.32662963867188,151.7825399724271,149.88229467939152,151.7352675335737,4653200
2022-01-19,148.76673889160156,151.26257073165291,148.71001773566084,150.98841366943185,4899600
2022-01-20,146.87599182128906,150.87499295054573,146.73418889758454,149.16383701872184,7227200
2022-01-21,144.72991943359375,147.51882028186404,144.47467422403452,146.6774227833922,8646900
2022-01-24,145.81712341308594,146.0440080369026,140.0691439928571,142.79186045731706,10105000
2022-01-25,144.4368438720703,145.873842311267,141.4683165437241,143.74671244277144,6199200
2022-01-26,143.2740478515625,146.87598623184658,141.95049143674166,145.66588657719802,8083200
2022-01-27,142.470458984375,146.05349991260522,141.67633379374493,144.76776723112172,5311300
2022-01-28,144.9095458984375,144.9095458984375,140.8349125867653,142.22463865056153,5525700
2022-01-31,147.1406707763672,147.25411309262327,143.97360480933276,144.20995258521523,5070600
2022-02-01,148.28457641601562,148.4547398629242,146.20470478365883,147.19736816718893,5615600
2022-02-02,149.24887084960938,149.5324910314752,147.73625392219455,148.40747344623787,4974300
2022-02-03,147.35812377929688,149.0125584023293,147.15959970282702,148.30351499245825,5293900
2022-02-04,147.2257537841797,148.36022023310176,145.74149724010022,146.76252137178716,5358900
2022-02-07,147.32028198242188,148.43583644363375,147.01774993669002,147.40536371071323,2881100
2022-02-08,148.67221069335938,148.95583093040352,146.9421431154671,147.44321370870895,3488800
2022-02-09,151.1869354248047,151.32875273803086,149.92011487624438,150.0902783414886,3969700
2022-02-10,148.80455017089844,151.6879958490169,148.11441872188092,149.37179058891368,4940500
2022-02-11,146.83815002441406,149.8633986067349,146.28982146488042,148.88018380152866,4224800
2022-02-14,145.66587829589844,147.24467987391694,144.71103837401418,146.89488974495907,4231900
2022-02-15,147.8875274658203,148.0104329288249,146.75306099550676,146.9137757564615,2927000
2022-02-16,148.379150390625,148.79512483914436,146.97052669285077,147.29195624833378,4015700
2022-02-17,145.71311950683594,147.48099606140502,145.4673086143996,147.2540970281227,3052100
2022-02-18,145.16481018066406,146.64906674617143,144.50303927803262,145.59968202002597,3681700
2022-02-22,143.71835327148438,145.58077481749902,142.72568977136893,144.92845267669392,4534400
2022-02-23,141.4967041015625,145.05136994418996,141.3265406038873,144.65430735742243,4773700
2022-02-24,142.84860229492188,143.00931705233822,138.14054418721426,138.53760672180582,8030900
2022-02-25,146.68690490722656,146.7058023452162,143.18896028429555,143.20785772228518,6433300
2022-02-28,145.8265838623047,146.49781792131637,144.07760447689077,144.5503000485676,6172900
2022-03-01,143.32130432128906,146.0440210279426,142.39481060654717,145.19317476189914,7314500
2022-03-02,146.3749237060547,146.9705247883097,144.13435114027652,144.16271172271485,5611900
2022-03-03,146.07241821289062,147.3581510779984,145.03249634107837,147.05563333501715,4578400
2022-03-04,145.1931610107422,145.287691461614,143.48200549686842,144.68264175904775,4066500
2022-03-07,141.17527770996094,144.9757545907017,141.07128409498586,144.77721608010356,4467100
2022-03-08,140.16371154785156,143.48204430481468,140.14481410787963,141.46835618224912,5654700
2022-03-09,143.13221740722656,143.9547175347098,142.2813711242019,142.6689849661346,4120100
2022-03-10,142.8580322265625,143.11329183149093,141.24140729604454,141.496666900973,2684000
2022-03-11,141.35491943359375,144.08709987242304,141.25092580752647,143.6522135019069,2091100
2022-03-14,140.83489990234375,142.81076365095856,140.25821080926954,141.96936622914754,2753400
2022-03-15,143.1038360595703,143.3212863835524,141.23196585323885,141.4494017516986,3326000
2022-03-16,145.8076629638672,145.81712610704963,142.64061148522467,144.14377984787245,4260500
2022-03-17,147.64173889160156,147.64173889160156,145.0608250086131,145.20262791544368,3085000
2022-03-18,148.58709716796875,148.74781190196208,146.8286693850422,147.13120141998593,2489600
2022-03-21,148.17323303222656,149.28396092369638,147.2049005810211,148.44853571200517,2529300
2022-03-22,149.41683959960938,149.72063579516765,148.78078261168415,148.82825257796512,2010300
2022-03-23,147.28085327148438,148.97068013798196,147.25237418273016,148.76182382991567,1802700
2022-03-24,148.99916076660156,149.0181516545683,147.31882208372187,147.82198645712015,953200
2022-03-25,150.0149688720703,150.08141525374882,148.65740280453943,149.36940902914412,988100
2022-03-28,150.46115112304688,150.46115112304688,148.79030068361547,149.77762403160727,1943100
2022-03-29,152.95787048339844,153.07180129336362,151.4864030102563,151.76170562225735,1903100
2022-03-30,151.79019165039062,152.85344935340115,151.059194736671,152.5496676464552,2053100
2022-03-31,149.72067260742188,152.08452395994203,149.6447235398585,151.58137406241264,2252000
2022-04-01,150.2047882080078,150.51807258899248,148.98012976544956,150.39465357914418,2171600
2022-04-04,150.527587890625,150.64150423665805,149.51180000495907,150.2902525125215,1814300
2022-04-05,148.92318725585938,151.02123821480842,148.52446558882397,150.19531579636373,1669600
2022-04-06,148.17323303222656,148.63841561342784,147.09098422880962,147.8979158666453,2000700
2022-04-07,148.62889099121094,149.23646892300604,146.94855261507422,148.0118248600661,1312300
2022-04-08,148.9421844482422,149.8155768728975,148.08778290924064,148.57194184990132,2334800
